scenario,proportion,method,predictor,seed,top1_acc,top3_acc,top5_acc
MNAR,0.3,GRAPE,knn,0,0.20652173913043478,0.5065217391304347,0.6760869565217391
MNAR,0.3,GRAPE,mlp,0,0.05434782608695652,0.12173913043478261,0.1782608695652174
MNAR,0.5,DropMissing,knn,0,,,
MNAR,0.5,DropMissing,mlp,0,,,
MNAR,0.5,Mean,knn,0,0.06956521739130435,0.20869565217391303,0.34347826086956523
MNAR,0.5,Mean,mlp,0,0.04565217391304348,0.10217391304347827,0.16956521739130434
MNAR,0.5,kNN,knn,0,0.12608695652173912,0.3652173913043478,0.5217391304347826
MNAR,0.5,kNN,mlp,0,0.04565217391304348,0.10869565217391304,0.15434782608695652
MNAR,0.5,MICE,knn,0,0.08260869565217391,0.22608695652173913,0.35
MNAR,0.5,MICE,mlp,0,0.043478260869565216,0.09347826086956522,0.15869565217391304
MNAR,0.5,SoftImpute,knn,0,0.06739130434782609,0.21739130434782608,0.34782608695652173
MNAR,0.5,SoftImpute,mlp,0,0.02826086956521739,0.07608695652173914,0.1673913043478261
MNAR,0.5,HyperImpute,knn,0,0.1826086956521739,0.48695652173913045,0.6434782608695652
MNAR,0.5,HyperImpute,mlp,0,0.02391304347826087,0.08260869565217391,0.15217391304347827
MNAR,0.5,DiffPuter,knn,0,0.10217391304347827,0.2608695652173913,0.4
MNAR,0.5,DiffPuter,mlp,0,0.02826086956521739,0.058695652173913045,0.10652173913043478
MNAR,0.5,GRAPE,knn,0,0.2,0.4826086956521739,0.5978260869565217
MNAR,0.5,GRAPE,mlp,0,0.02391304347826087,0.09565217391304348,0.16956521739130434
