mechanism,proportion,method,n_folds,cached,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MAR,0.1,diffputer,True,1,510.8,3,0.5121171221545392,0.03272692121047212,0.7360226283903732,0.011139460019865533,0.8383769977355509,0.005409915751264135,0.9015548785115822,0.008252433570059918,0.9386604074015867,0.006944996277861925
MAR,0.3,diffputer,True,1,507.4,3,0.48719514046329193,0.03904527387323001,0.7186789889677071,0.010201946758931817,0.825402257890815,0.016661478824968216,0.8862756121554117,0.01578204256760525,0.9290356370447809,0.004868696643197223
MAR,0.5,diffputer,True,1,521.1,3,0.4459371672093304,0.029569356916498576,0.6512490991508771,0.011933556340554841,0.7746459583565075,0.01704938770646554,0.8467212438348185,0.005278904681342552,0.8910942434020614,0.003059116513873923
MNAR,0.1,diffputer,True,1,517.0,3,0.4988976855186144,0.039942681532856246,0.737398402385232,0.025883256896581164,0.8352121510160605,0.011080830624398203,0.8947142746320486,0.012286439729779322,0.9326028189710591,0.007963307943403148
MNAR,0.3,diffputer,True,1,512.4,3,0.47071863626805643,0.04279691009482087,0.7138231055869183,0.009358496637088804,0.8185712695214273,0.011345271744053519,0.8781990799895002,0.01774055688991935,0.9217094115399861,0.007518994305607925
MNAR,0.5,diffputer,True,1,575.9,3,0.42109854807213276,0.041360300620378536,0.6358387692364206,0.012605812613161646,0.765977348733542,0.012827151196979733,0.853578278243873,0.012438931038534074,0.9035574678530218,0.009158516124238071
MCAR-Row,0.1,diffputer,True,1,750.3,3,0.5049039390941831,0.03612212043874762,0.7409253794154473,0.016073953330039182,0.8388009117713321,0.010905062986240928,0.8919709941396382,0.003508829810483112,0.9266441141285745,0.002559964924497578
MCAR-Row,0.3,diffputer,True,1,702.5,3,0.47643567321685226,0.04857222531774692,0.6867082776510779,0.033075347698946725,0.7777684188071446,0.026843829130844814,0.8457307837287628,0.014737247683220508,0.888052811861531,0.011746772851945872
MCAR-Row,0.5,diffputer,True,1,703.9,3,0.390994290374761,0.05180107197843469,0.5532214095506874,0.07659961385678608,0.6629472672958605,0.046636679966333736,0.7622155329937711,0.04245041375421686,0.8180269833689447,0.025699819343496355
MCAR,0.1,grape,True,1,5438.8,3,0.5113593955208248,0.037198168875186795,0.7432841174081882,0.011050842917887086,0.8503769366146186,0.006673975575087087,0.905177105279118,0.011464396836097422,0.9366369964555289,0.007417813927890362
MCAR,0.3,grape,True,1,4473.1,3,0.496864506791258,0.03947228940572673,0.7421017956498942,0.013813804863577438,0.8463360202463502,0.0032776492486683404,0.9038905993621563,0.0127191316774769,0.9358301305044044,0.004372957020074017
MCAR,0.5,grape,True,1,3634.4,3,0.4736826869139612,0.02266611897925999,0.7065267122436655,0.021151802109873427,0.8287381446579255,0.011823785976863796,0.8946621825527147,0.009390841301716796,0.9326258361132261,0.0028742803654451827
MAR,0.1,grape,True,1,5322.8,3,0.5009485808175128,0.041833649418922446,0.7293336812670149,0.023417726215678898,0.8421137813962755,0.015629044175274324,0.8956326685788619,0.01253024182325937,0.9338298128360899,0.008319954959973225
MAR,0.3,grape,True,1,4444.5,3,0.4895769717337761,0.036319125333284547,0.7264156507406859,0.01771869132406582,0.8311318631116805,0.00835300933415848,0.899970145410924,0.006427689245650902,0.9378736058307057,0.003912450691413696
MAR,0.5,grape,True,1,3687.5,3,0.4827169845627978,0.03698777614060012,0.7065154300136168,0.006457304598425121,0.824613941871184,0.0027347103006476925,0.8898144763688981,0.010401152214889128,0.9293687685539154,0.006585003746027498
MNAR,0.1,grape,True,1,5536.6,3,0.5065280437309531,0.03758511550968284,0.7331187567204401,0.006639291569036022,0.8330712304148903,0.004869444370442236,0.9043591093690976,0.011233218233126235,0.9410489014202933,0.006186728579566049
MNAR,0.3,grape,True,1,4425.5,3,0.49797626267430123,0.030413390492886824,0.7182015445394184,0.005202818029373956,0.8319000386154922,0.008729160207991717,0.8979431006141438,0.011140067549837013,0.9342030731057109,0.005484902598059538
MNAR,0.5,grape,True,1,3463.5,3,0.4783384694747214,0.044264024305574794,0.6985771529718595,0.02299098891577452,0.8088697993587944,0.008288764889727183,0.8792921336698974,0.012285873569596208,0.9277364867201731,0.006672159048377006
MCAR-Row,0.1,grape,True,1,5137.3,3,0.5048979574347595,0.035542861390340214,0.7311868855254041,0.020161335453216855,0.8193565566435584,0.014971316816553847,0.8797844180433808,0.005482947124022092,0.9180805220242281,0.009641246819041683
MCAR-Row,0.3,grape,True,1,4314.6,3,0.3752957294646356,0.05931983633922714,0.5690791711312214,0.046292835074075236,0.7227401981229477,0.05288512325778724,0.8138582607466193,0.030080576554940522,0.8749264152606196,0.02742197269262125
MCAR-Row,0.5,grape,True,1,3413.4,3,0.1738045923657571,0.11879767711963159,0.5068543743854708,0.06669184376235128,0.668207453014257,0.03868980578866392,0.7666399920658468,0.00835012654010159,0.8408332571387372,0.012992482290011832
