mechanism,proportion,method,cached,n_folds,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR-Row,0.5,hyperimpute,True,1,282.7,3,0.1192802364594983,0.0136427364870067,0.295514980167689,0.0359542944842965,0.4372637315309433,0.0536096471644221,0.5605459732188547,0.0852923447185128,0.6503348800915087,0.0903344742264672
MCAR,0.1,diffputer,True,1,426.6,3,0.3923151241921778,0.0121544213070747,0.628038291526868,0.0185775501481244,0.7563976858830531,0.0233497523837022,0.8488475725390221,0.0269977773353064,0.8842441377170497,0.023668906281831
MCAR,0.3,diffputer,True,1,410.5,3,0.3665058547575548,0.0191130163836389,0.5828026771883271,0.0385682500422018,0.7350468079588581,0.0398196305240069,0.8310704469621716,0.0343047593436733,0.8902764946013971,0.0241716567233317
MCAR,0.5,diffputer,True,1,380.5,3,0.3326478855954671,0.0092088791080289,0.5304970697268397,0.0126108168530624,0.6703283503638818,0.0235831649394235,0.779574282598276,0.0364437056713178,0.8421729521083843,0.0425366415255278
MAR,0.1,diffputer,True,1,416.1,3,0.3804645368640173,0.0236305781635403,0.6102000365849988,0.0351583330140837,0.7697116731616617,0.0275664194946103,0.8529836455793512,0.0271760985980942,0.9040963621081296,0.0250238093592548
MAR,0.3,diffputer,True,1,417.2,3,0.378507065767324,0.0275592934438172,0.5989399033507691,0.0421462626621386,0.7425919429644501,0.0344972181393263,0.8364699181005438,0.0205772552733782,0.8866509906893493,0.0216231254505036
MAR,0.5,diffputer,True,1,400.0,3,0.3361817533476432,0.0303921307440415,0.5138634569119019,0.0363592004161132,0.658426011471018,0.0472972585005442,0.7525510511240626,0.0440049690484121,0.8327244709647094,0.0414152078146974
MNAR,0.1,diffputer,True,1,413.1,3,0.3833865899770996,0.0149293243886727,0.6020596428100058,0.0297159787045824,0.7555742339726446,0.0254301734511404,0.8392979037721912,0.0245996478642983,0.8929021629143888,0.0343830281086315
MNAR,0.3,diffputer,True,1,412.1,3,0.3654212716297227,0.0165804577142087,0.5647549847060812,0.0179161052810965,0.7148958253737806,0.0266625920904131,0.8115147231464951,0.026167347297968,0.8710030888853385,0.0218945878097469
MNAR,0.5,diffputer,True,1,398.6,3,0.3242182272021043,0.0328839019901442,0.5142750960356217,0.0269587170572934,0.6504243165204424,0.0308501562759072,0.749584192965029,0.0282379808738891,0.8333172984525472,0.0420001317102849
